text,cmp_code,eu_code,pos,party,date,language,source,has_eu_code,is_primary_doc,may_contradict_core_dataset,md5sum_text,url_original,md5sum_original,annotations,handbook,is_copy_of,title,translation_en,id
A GREEN INDUSTRIAL REVOLUTION,H,NA,1,51320,201912,english,MARPOR,FALSE,TRUE,FALSE,0da2149574a0dcc067abaf223e91b9ab,/down/originals/2020-1/51320_2019.pdf,b92e0bf8d1202c474c16f8f3f6b3925a,TRUE,5,NA,It's time for real change ,FALSE,51320_201912
11 ECONOMY AND ENERGY,NA,NA,2,51320,201912,english,MARPOR,FALSE,TRUE,FALSE,0da2149574a0dcc067abaf223e91b9ab,/down/originals/2020-1/51320_2019.pdf,b92e0bf8d1202c474c16f8f3f6b3925a,TRUE,5,NA,It's time for real change ,FALSE,51320_201912
19TRANSPORT,NA,NA,3,51320,201912,english,MARPOR,FALSE,TRUE,FALSE,0da2149574a0dcc067abaf223e91b9ab,/down/originals/2020-1/51320_2019.pdf,b92e0bf8d1202c474c16f8f3f6b3925a,TRUE,5,NA,It's time for real change ,FALSE,51320_201912
22 ENVIRONMENT,NA,NA,4,51320,201912,english,MARPOR,FALSE,TRUE,FALSE,0da2149574a0dcc067abaf223e91b9ab,/down/originals/2020-1/51320_2019.pdf,b92e0bf8d1202c474c16f8f3f6b3925a,TRUE,5,NA,It's time for real change ,FALSE,51320_201912
25 ANIMAL WELFARE,NA,NA,5,51320,201912,english,MARPOR,FALSE,TRUE,FALSE,0da2149574a0dcc067abaf223e91b9ab,/down/originals/2020-1/51320_2019.pdf,b92e0bf8d1202c474c16f8f3f6b3925a,TRUE,5,NA,It's time for real change ,FALSE,51320_201912
ECONOMY AND ENERGY,H,NA,6,51320,201912,english,MARPOR,FALSE,TRUE,FALSE,0da2149574a0dcc067abaf223e91b9ab,/down/originals/2020-1/51320_2019.pdf,b92e0bf8d1202c474c16f8f3f6b3925a,TRUE,5,NA,It's time for real change ,FALSE,51320_201912
This election is about the crisis of living standards,503,NA,7,51320,201912,english,MARPOR,FALSE,TRUE,FALSE,0da2149574a0dcc067abaf223e91b9ab,/down/originals/2020-1/51320_2019.pdf,b92e0bf8d1202c474c16f8f3f6b3925a,TRUE,5,NA,It's time for real change ,FALSE,51320_201912
and the climate and environmental emergency.,501,NA,8,51320,201912,english,MARPOR,FALSE,TRUE,FALSE,0da2149574a0dcc067abaf223e91b9ab,/down/originals/2020-1/51320_2019.pdf,b92e0bf8d1202c474c16f8f3f6b3925a,TRUE,5,NA,It's time for real change ,FALSE,51320_201912
"Whether we are ready or not, we stand on the brink of unstoppable change.",501,NA,9,51320,201912,english,MARPOR,FALSE,TRUE,FALSE,0da2149574a0dcc067abaf223e91b9ab,/down/originals/2020-1/51320_2019.pdf,b92e0bf8d1202c474c16f8f3f6b3925a,TRUE,5,NA,It's time for real change ,FALSE,51320_201912
We must confront this change while dealing with the growing inequality and insecurity in Britain.,503,NA,10,51320,201912,english,MARPOR,FALSE,TRUE,FALSE,0da2149574a0dcc067abaf223e91b9ab,/down/originals/2020-1/51320_2019.pdf,b92e0bf8d1202c474c16f8f3f6b3925a,TRUE,5,NA,It's time for real change ,FALSE,51320_201912
Labour led the UK Parliament in declaring a climate and environmental emergency.,501,NA,11,51320,201912,english,MARPOR,FALSE,TRUE,FALSE,0da2149574a0dcc067abaf223e91b9ab,/down/originals/2020-1/51320_2019.pdf,b92e0bf8d1202c474c16f8f3f6b3925a,TRUE,5,NA,It's time for real change ,FALSE,51320_201912
"The next Labour government will lead the world in fighting it, with a plan to drive up living standards by transforming our economy into one low in carbon,",501,NA,12,51320,201912,english,MARPOR,FALSE,TRUE,FALSE,0da2149574a0dcc067abaf223e91b9ab,/down/originals/2020-1/51320_2019.pdf,b92e0bf8d1202c474c16f8f3f6b3925a,TRUE,5,NA,It's time for real change ,FALSE,51320_201912
"rich in good jobs,",701,NA,13,51320,201912,english,MARPOR,FALSE,TRUE,FALSE,0da2149574a0dcc067abaf223e91b9ab,/down/originals/2020-1/51320_2019.pdf,b92e0bf8d1202c474c16f8f3f6b3925a,TRUE,5,NA,It's time for real change ,FALSE,51320_201912
radically fairer,503,NA,14,51320,201912,english,MARPOR,FALSE,TRUE,FALSE,0da2149574a0dcc067abaf223e91b9ab,/down/originals/2020-1/51320_2019.pdf,b92e0bf8d1202c474c16f8f3f6b3925a,TRUE,5,NA,It's time for real change ,FALSE,51320_201912
and more democratic.,202.1,NA,15,51320,201912,english,MARPOR,FALSE,TRUE,FALSE,0da2149574a0dcc067abaf223e91b9ab,/down/originals/2020-1/51320_2019.pdf,b92e0bf8d1202c474c16f8f3f6b3925a,TRUE,5,NA,It's time for real change ,FALSE,51320_201912
The climate crisis ties us all into a common fate.,501,NA,16,51320,201912,english,MARPOR,FALSE,TRUE,FALSE,0da2149574a0dcc067abaf223e91b9ab,/down/originals/2020-1/51320_2019.pdf,b92e0bf8d1202c474c16f8f3f6b3925a,TRUE,5,NA,It's time for real change ,FALSE,51320_201912
This election is our best hope to protect future generations from an uninhabitable planet.,501,NA,17,51320,201912,english,MARPOR,FALSE,TRUE,FALSE,0da2149574a0dcc067abaf223e91b9ab,/down/originals/2020-1/51320_2019.pdf,b92e0bf8d1202c474c16f8f3f6b3925a,TRUE,5,NA,It's time for real change ,FALSE,51320_201912
"The Intergovernmental Panel on Climate Change has said we need to cut global emissions in half by 2030 to have a chance of keeping global heating within safe limits – that means acting now, and acting decisively.",501,NA,18,51320,201912,english,MARPOR,FALSE,TRUE,FALSE,0da2149574a0dcc067abaf223e91b9ab,/down/originals/2020-1/51320_2019.pdf,b92e0bf8d1202c474c16f8f3f6b3925a,TRUE,5,NA,It's time for real change ,FALSE,51320_201912
The Tories wasted a decade serving the interests of big polluters.,501,NA,19,51320,201912,english,MARPOR,FALSE,TRUE,FALSE,0da2149574a0dcc067abaf223e91b9ab,/down/originals/2020-1/51320_2019.pdf,b92e0bf8d1202c474c16f8f3f6b3925a,TRUE,5,NA,It's time for real change ,FALSE,51320_201912
Labour will use the crucial next decade to act.,305.1,NA,20,51320,201912,english,MARPOR,FALSE,TRUE,FALSE,0da2149574a0dcc067abaf223e91b9ab,/down/originals/2020-1/51320_2019.pdf,b92e0bf8d1202c474c16f8f3f6b3925a,TRUE,5,NA,It's time for real change ,FALSE,51320_201912
