text,cmp_code,eu_code,pos,party,date,language,source,has_eu_code,is_primary_doc,may_contradict_core_dataset,md5sum_text,url_original,md5sum_original,annotations,handbook,is_copy_of,title,translation_en,id
CREATING AN ECONOMY THAT WORKS FOR ALL,H,NA,1,51320,201706,english,MARPOR,FALSE,TRUE,FALSE,ffe35e702324e641236a11e1f263471f,/down/originals/2018-2/51320_2017.pdf,6ef3f04bdede82fc1e31d38b16a733c8,TRUE,5,NA,For the many not the few. The Labour Party manifesto 2017,FALSE,51320_201706
"Labour’s economic strategy is about delivering a fairer, more prosperous society for the many, not just the few.",503,NA,2,51320,201706,english,MARPOR,FALSE,TRUE,FALSE,ffe35e702324e641236a11e1f263471f,/down/originals/2018-2/51320_2017.pdf,6ef3f04bdede82fc1e31d38b16a733c8,TRUE,5,NA,For the many not the few. The Labour Party manifesto 2017,FALSE,51320_201706
"We will measure our economic success not by the number of billionaires, but by the ability of our people to live richer lives.",503,NA,3,51320,201706,english,MARPOR,FALSE,TRUE,FALSE,ffe35e702324e641236a11e1f263471f,/down/originals/2018-2/51320_2017.pdf,6ef3f04bdede82fc1e31d38b16a733c8,TRUE,5,NA,For the many not the few. The Labour Party manifesto 2017,FALSE,51320_201706
"Labour understands that the creation of wealth is a collective endeavour between workers, entrepreneurs, investors and government.",405,NA,4,51320,201706,english,MARPOR,FALSE,TRUE,FALSE,ffe35e702324e641236a11e1f263471f,/down/originals/2018-2/51320_2017.pdf,6ef3f04bdede82fc1e31d38b16a733c8,TRUE,5,NA,For the many not the few. The Labour Party manifesto 2017,FALSE,51320_201706
Each contributes and each must share fairly in the rewards.,503,NA,5,51320,201706,english,MARPOR,FALSE,TRUE,FALSE,ffe35e702324e641236a11e1f263471f,/down/originals/2018-2/51320_2017.pdf,6ef3f04bdede82fc1e31d38b16a733c8,TRUE,5,NA,For the many not the few. The Labour Party manifesto 2017,FALSE,51320_201706
"This manifesto sets out Labour’s plan to upgrade our economy and rewrite the rules of a rigged system, so that our economy really works for the many, and not only the few.",503,NA,6,51320,201706,english,MARPOR,FALSE,TRUE,FALSE,ffe35e702324e641236a11e1f263471f,/down/originals/2018-2/51320_2017.pdf,6ef3f04bdede82fc1e31d38b16a733c8,TRUE,5,NA,For the many not the few. The Labour Party manifesto 2017,FALSE,51320_201706
Britain is the only major developed economy where earnings have fallen even as growth has returned after the financial crisis.,701,NA,7,51320,201706,english,MARPOR,FALSE,TRUE,FALSE,ffe35e702324e641236a11e1f263471f,/down/originals/2018-2/51320_2017.pdf,6ef3f04bdede82fc1e31d38b16a733c8,TRUE,5,NA,For the many not the few. The Labour Party manifesto 2017,FALSE,51320_201706
"Most working people in Britain today are earning less, after inflation, than they did ten years ago.",701,NA,8,51320,201706,english,MARPOR,FALSE,TRUE,FALSE,ffe35e702324e641236a11e1f263471f,/down/originals/2018-2/51320_2017.pdf,6ef3f04bdede82fc1e31d38b16a733c8,TRUE,5,NA,For the many not the few. The Labour Party manifesto 2017,FALSE,51320_201706
Too many of us are in low-paid and insecure work.,701,NA,9,51320,201706,english,MARPOR,FALSE,TRUE,FALSE,ffe35e702324e641236a11e1f263471f,/down/originals/2018-2/51320_2017.pdf,6ef3f04bdede82fc1e31d38b16a733c8,TRUE,5,NA,For the many not the few. The Labour Party manifesto 2017,FALSE,51320_201706
Too many of us fear our children will not enjoy the same opportunities that we have.,503,NA,10,51320,201706,english,MARPOR,FALSE,TRUE,FALSE,ffe35e702324e641236a11e1f263471f,/down/originals/2018-2/51320_2017.pdf,6ef3f04bdede82fc1e31d38b16a733c8,TRUE,5,NA,For the many not the few. The Labour Party manifesto 2017,FALSE,51320_201706
