text,cmp_code,eu_code,pos,party,date,language,source,has_eu_code,is_primary_doc,may_contradict_core_dataset,md5sum_text,url_original,md5sum_original,annotations,handbook,is_copy_of,title,translation_en,id
Manifesto 2015,NA,NA,1,51421,201505,english,MARPOR,FALSE,TRUE,FALSE,9f23c07a81e61778aec746491fd05e22,/down/originals/2016-1/51421_2015.pdf,912b1ac377993854fcd86a8f314dc18d,TRUE,4,NA,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,FALSE,51421_201505
"Introduction by Nick Clegg Britain in 2020: The Liberal Democrat vision     Responsible Finances:      Balancing the budget in a fair way     Prosperity for all:      Building a sustainable economy          Real help for family finances:      Tax, pensions and consumer rights     An Opportunity Society:      World class education for all     Building a healthier society:      Protecting the NHS and improving health     Better places to live:      Communities farming and the natural environm Green Britain Guarantee:  Five green laws     Affordable homes for all:      Meeting our housing needs          Freedom and opportunity:      Equal rights for all          Secure communities:      Policing, justice and the border force       Power to the people:      Devolution democracy and citizenship       Britain in the World: Global action for       security and prosperity",NA,NA,2,51421,201505,english,MARPOR,FALSE,TRUE,FALSE,9f23c07a81e61778aec746491fd05e22,/down/originals/2016-1/51421_2015.pdf,912b1ac377993854fcd86a8f314dc18d,TRUE,4,NA,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,FALSE,51421_201505
Introduction,NA,NA,3,51421,201505,english,MARPOR,FALSE,TRUE,FALSE,9f23c07a81e61778aec746491fd05e22,/down/originals/2016-1/51421_2015.pdf,912b1ac377993854fcd86a8f314dc18d,TRUE,4,NA,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,FALSE,51421_201505
"Dear friend, When Liberal Democrats launched our 2010 General Election manifesto, few people expected that many of the policies it contained would be implemented by the next Government. But that’s what happened: three quarters of those policies formed the backbone of the Coalition’s programme. Front-page commitments like raising the Income Tax threshold  and investing in the poorest schoolchildren through the Pupil Premium became flagship Coalition policies. With Liberal Democrats in Government to deliver them, those policies have started the work of building a stronger economy and a fairer society, with opportunity spread across the whole United Kingdom. Despite tough economic circumstances, those policies are making a  difference to people’s lives and helping make Britain a freer, greener, more liberal country. But our mission has only just begun. You can’t build a stronger economy and a fairer society, and spread opportunity to every citizen, in five years. For the first time, this is a Liberal Democrat manifesto that builds on a record of policies delivered in national government. We can say we will finish the job of balancing the books, but do so fairly, because we have started that job in this Parliament. We can say we will cut taxes for working people by raising the tax-free allowance to £12,500 because we have raised the tax-free allowance every year since 2010. We can say we will protect funding for education from nursery to 19 because we have protected schools funding and invested in early years education in Government. We can say we will increase health funding and invest in mental health because we have protected the NHS budget in Government and introduced the first ever waiting-time standards for mental health. And we can say we will protect our environment because we have almost trebled the amount of electricity from renewable energy in this Parliament. In our fast-changing world, the fundamental question political parties face is: do we want to continue to be an open society, confident and optimistic about our place in the world, or do we want to become a closed one, increasingly insular and backward-looking? For Liberal Democrats there is only ever one answer: we want an optimistic, open-hearted and outward-looking United Kingdom. In Government for the next five years, Liberal Democrats will continue to build a stronger economy and a fairer society with opportunity for everyone. This manifesto sets out how. Yours, Nick Clegg",NA,NA,4,51421,201505,english,MARPOR,FALSE,TRUE,FALSE,9f23c07a81e61778aec746491fd05e22,/down/originals/2016-1/51421_2015.pdf,912b1ac377993854fcd86a8f314dc18d,TRUE,4,NA,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,FALSE,51421_201505
Britain in 2020: the Liberal Democrat vision,NA,NA,5,51421,201505,english,MARPOR,FALSE,TRUE,FALSE,9f23c07a81e61778aec746491fd05e22,/down/originals/2016-1/51421_2015.pdf,912b1ac377993854fcd86a8f314dc18d,TRUE,4,NA,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,FALSE,51421_201505
"This manifesto is a five year plan to build a fair, free and open society in our United Kingdom.",601,NA,6,51421,201505,english,MARPOR,FALSE,TRUE,FALSE,9f23c07a81e61778aec746491fd05e22,/down/originals/2016-1/51421_2015.pdf,912b1ac377993854fcd86a8f314dc18d,TRUE,4,NA,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,FALSE,51421_201505
"Follow this plan and by 2020, our economy will be strong, sustainable and fair,",403,NA,7,51421,201505,english,MARPOR,FALSE,TRUE,FALSE,9f23c07a81e61778aec746491fd05e22,/down/originals/2016-1/51421_2015.pdf,912b1ac377993854fcd86a8f314dc18d,TRUE,4,NA,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,FALSE,51421_201505
our public finances will be healthy again,414,NA,8,51421,201505,english,MARPOR,FALSE,TRUE,FALSE,9f23c07a81e61778aec746491fd05e22,/down/originals/2016-1/51421_2015.pdf,912b1ac377993854fcd86a8f314dc18d,TRUE,4,NA,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,FALSE,51421_201505
and there will be jobs that last in every part of the country.,701,NA,9,51421,201505,english,MARPOR,FALSE,TRUE,FALSE,9f23c07a81e61778aec746491fd05e22,/down/originals/2016-1/51421_2015.pdf,912b1ac377993854fcd86a8f314dc18d,TRUE,4,NA,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,FALSE,51421_201505
"Follow this plan and there will be opportunity for everyone to get on and live the life they want –at work, at home, online and in our communities.",503,NA,10,51421,201505,english,MARPOR,FALSE,TRUE,FALSE,9f23c07a81e61778aec746491fd05e22,/down/originals/2016-1/51421_2015.pdf,912b1ac377993854fcd86a8f314dc18d,TRUE,4,NA,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.,FALSE,51421_201505
